
Date,Open,High,Low,Close,Volume,Adj Close
2012-01-10,425.91,426.00,421.50,423.24,9221300,423.24
2012-01-09,425.50,427.75,421.35,421.73,14060600,421.73
2012-01-06,419.77,422.75,419.22,422.40,11367600,422.40
2012-01-05,414.95,418.55,412.67,418.03,9675800,418.03
2012-01-04,410.00,414.68,409.28,413.44,9286500,413.44
2012-01-03,409.40,412.50,409.00,411.23,10793600,411.23
2011-12-30,403.51,406.28,403.49,405.00,6416500,405.00
2011-12-29,403.40,405.65,400.51,405.12,7713500,405.12
2011-12-28,406.89,408.25,401.34,402.64,8166500,402.64
2011-12-27,403.10,409.09,403.02,406.53,9467000,406.53
2011-12-23,399.69,403.59,399.49,403.33,9621400,403.33
2011-12-22,397.00,399.13,396.10,398.55,7209900,398.55
2011-12-21,396.69,397.30,392.01,396.45,9367000,396.45
2011-12-20,387.76,396.10,387.26,395.95,12043400,395.95
2011-12-19,382.47,384.85,380.48,382.21,8388500,382.21
2011-12-16,380.36,384.15,379.57,381.02,15052800,381.02
2011-12-15,383.33,383.74,378.31,378.94,9150000,378.94
2011-12-14,386.70,387.38,377.68,380.19,14531700,380.19
2011-12-13,393.00,395.40,387.10,388.81,12104600,388.81
2011-12-12,391.68,393.90,389.45,391.84,10693500,391.84
2011-12-09,392.85,394.04,391.03,393.62,10606900,393.62
2011-12-08,391.45,395.50,390.23,390.66,13428900,390.66
2011-12-07,389.93,390.94,386.76,389.09,10883800,389.09
2011-12-06,392.51,394.63,389.38,390.95,10128500,390.95
2011-12-05,393.49,396.41,390.39,393.01,12757500,393.01
2011-12-02,389.83,393.63,388.58,389.70,13537700,389.70
2011-12-01,382.54,389.00,380.75,387.93,13709400,387.93
2011-11-30,381.29,382.28,378.30,382.20,14497800,382.20
2011-11-29,375.84,378.83,370.20,373.20,13423400,373.20
2011-11-28,372.35,376.72,370.33,376.12,12371900,376.12
2011-11-25,368.42,371.15,363.32,363.57,9098600,363.57
2011-11-23,374.51,375.84,366.88,366.99,15295400,366.99
2011-11-22,371.02,377.93,370.94,376.51,14607900,376.51
2011-11-21,370.40,371.68,365.91,369.01,15999300,369.01
2011-11-18,378.92,379.99,374.88,374.94,13283500,374.94
2011-11-17,383.98,384.58,375.50,377.41,17139300,377.41
2011-11-16,389.25,391.14,384.32,384.77,12449900,384.77
2011-11-15,380.80,389.50,379.45,388.83,15386100,388.83
2011-11-14,383.52,385.25,378.20,379.26,15460900,379.26
2011-11-11,386.61,388.70,380.26,384.62,23338400,384.62
2011-11-10,397.03,397.21,382.15,385.22,26598300,385.22
2011-11-09,396.97,400.89,394.23,395.28,19926700,395.28
2011-11-08,402.21,408.00,401.56,406.23,14278400,406.23
2011-11-07,399.91,400.00,396.13,399.73,9641000,399.73
2011-11-04,402.03,403.44,399.16,400.24,10772400,400.24
2011-11-03,399.07,403.40,395.36,403.07,15763800,403.07
2011-11-02,400.09,400.44,395.11,397.41,11691100,397.41
